System,Subsystem,Item,M,V,P,C,T
Air,APC,Vent/Relief Valve,5.4,0.0141,0,0,0
Air,APC,Pressure control panel,11.2,0.034,18,18,0
Air,APC,Manual Pressure Equalization Valve,9.6,0.0112,0,0,0
Air,APC,Positive Pressure Relief Valve,1.8,0.0034,0,0,0
Air,APC,Negative Pressure Relief Valve,3,0.0093,0,0,0
Air,APC,Nitrogen Interface Assembly,7.5,0.0122,5.5,5.5,0
Air,APC,Vacuum Access Jumper 5-ft,0.7,0.00043,0,0,0
Air,APC,Vacuum Access Jumper 35-ft,3.2,0.003,0,0,0
Air,ACMA,Verification Gas Assembly,5.4,0.0136,0.1,0.1,0
Air,ACMA,Mass Spectrometer,13.9,0.0238,31.8,31.8,0
Air,ACMA,Sample Pump,3.4,0.0045,4,4,0
Air,ACMA,Sample Distributor,2.1,0.0045,0.1,0.1,0
Air,ACMA,Data & Control,8,0.0141,34.9,34.9,0
Air,ACMA,Low Volt. Power supply,5.7,0.0054,30.8,30.8,0
Air,ACMA,Chassis,15.8,0.0238,0,0,0
Air,ACMA,Inlet Valve Assembly,0,0,0,0,0
Air,ACMA,EMI Filter,0,0,1.8,1.8,0
Air,SDS,3-way solenoid valves,31.5,0.0345,0,0,0
Air,SDS,Manual valves,2.53,0.0066,0,0,0
Air,SDS,Sample probes,1.08,0.00024,0,0,0
Air,CO2_removal_4BMS,Air Selector Valve,12.59824789,0.008237316,0.679299988,0.679299988,29.5890411
Air,CO2_removal_4BMS,Desiccant  Bed,23.50377958,0.240472196,0,0,7.101369863
Air,CO2_removal_4BMS,Adsorbent Bed,32.06295943,0,559.7431901,559.7431901,0
Air,CO2_removal_4BMS,Air Check Valve,0.161515999,0,0,0,0
Air,CO2_removal_4BMS,Heater Controller,6.6,0.0016,38,38,0.295890411
Air,CO2_removal_4BMS,Air Blower,0.807579993,0.0201895,39.3993993,39.3993993,1.923287671
Air,CO2_removal_4BMS,Precooler,2.180465981,0,0,0,0
Air,CO2_removal_4BMS,Blower/precooler Motor Controller,1.3,0,5,5,0
Air,CO2_removal_4BMS,CO2 Pump,6.622155941,0.00363411,12.90669977,12.90669977,1.183561644
Air,CO2_removal_4BMS,CO2 Pump Motor Controller,1.3,0.0057,2,2,0.147945205
Air,CO2_removal_4BMS,Temperature Sensor,0.399,0,1,1,0
Air,CO2_removal_4BMS,Differential Pressure Sensor,0.2,0,1,1,0
Air,CO2_removal_4BMS,Absolute Pressure Sensor,0.2,0,1,1,0
Air,CO2_removal_4BMS,Electrical Harness,4.5,0,0,0,0
Air,CO2_removal_4BMS,Plumbing,4.764721957,0,0,0,0
Air,CO2_removal_4BMS,Support Structure,29.15363774,0,0,0,0
Air,CO2_removal_4BMS,Fluid Disconnects,1.938191983,0,0,0,0
Air,CO2_removal_4BMS,Electronics coldplate,2.665013976,0,0,0,0
Air,CO2_removal_4BMS,Electronics Interface Plate,1.6,0,0,0,0
Air,N2_storage,MD Shield Instl,0,0,0,0,0
Air,N2_storage,Multilayer Insulation Assembly-T #1,0,0,0,0,0
Air,N2_storage,Multilayer Insulation Assembly-T #2,0,0,0,0,0
Air,N2_storage,Primary Structure Assembly -HPG ORU,0,0,0,0,0
Air,N2_storage,Tank ORU Assembly,0,0,0,0,0
Air,N2_storage,Utilities Installation - O2/N2 Tank ,0,0,0,0,0
Air,N2_storage,N2 Bare Tank,1443.257746,0,0,0,0
Air,N2_storage,HPGA Fluid,1107.914821,0,0,0,0
Air,N2_storage,"Handhold, top mounted",2.92486588,0,0,0,0
Air,N2_storage,Handrail 21.941 in custom,5.118515289,0,0,0,0
Air,N2_storage,"Handrail, top mounted",5.362254113,0,0,0,0
Air,N2_storage,"Grapple fixture, flt releasable",150.6305928,0,0,0,0
Air,N2_storage,Accessories,72.23565213,0,0,0,0
Air,O2_storage,MD Shield Instl,0,0,0,0,0
Air,O2_storage,Multilayer Insulation Assembly-T #1,0,0,0,0,0
Air,O2_storage,Multilayer Insulation Assembly-T #2,0,0,0,0,0
Air,O2_storage,Primary Structure Assembly -HPG ORU,0,0,0,0,0
Air,O2_storage,Tank ORU Assembly,0,0,0,0,0
Air,O2_storage,Utilities Installation - O2/N2 Tank ,0,0,0,0,0
Air,O2_storage,O2 Bare Tank,1010.347586,0,0,0,0
Air,O2_storage,HPGA Fluid,506.6396872,0,0,0,0
Air,O2_storage,"Handhold, top mounted",1.337515399,0,0,0,0
Air,O2_storage,Handrail 21.941 in custom,2.340651948,0,0,0,0
Air,O2_storage,"Handrail, top mounted",2.452111565,0,0,0,0
Air,O2_storage,"Grapple fixture, flt releasable",68.88204305,0,0,0,0
Air,O2_storage,Accessories,50.56831807,0,0,0,0
Air,CO2_reduction_sabatier,Condensing Heat Exchanger,1.480858831,0,0,0,0
Air,CO2_reduction_sabatier,AAA heat exchanger,2.485727323,0,0,0,0
Air,CO2_reduction_sabatier,ITCS Coolant Water Inlet QD,0.475990338,0,0,0,0
Air,CO2_reduction_sabatier,ITCS Coolant Water Outlet QD,0.359637145,0,0,0,0
Air,CO2_reduction_sabatier,Heat Exchanger Inlet Temp,0.363636364,0,0,0,0
Air,CO2_reduction_sabatier,Heat Exchanger Outlet Temp,0.363636364,0,0,0,0
Air,CO2_reduction_sabatier,"Manifold, CO2",4.759903385,0,0,0,0
Air,CO2_reduction_sabatier,CO2 Inlet Check Valve,0.105775631,0,0,0,0
Air,CO2_reduction_sabatier,CO2 Inlet Filter,0.055080597,0,0,0,0
Air,CO2_reduction_sabatier,"Pressure sensor, CO2 Inlet",0.409090909,0,0,0,0
Air,CO2_reduction_sabatier,CO2 Inlet QD,0.475990338,0,0,0,0
Air,CO2_reduction_sabatier,CO2 Inlet Regulator,0.925536769,0,0,0,0
Air,CO2_reduction_sabatier,CO2 Inlet NC Solenoid,0.475990338,0,0,0,0
Air,CO2_reduction_sabatier,CO2 Inlet Flow Control,2.168400431,0,0,0,0
Air,CO2_reduction_sabatier,CO2 Flow Control Orifice,0.052887815,0,0,0,0
Air,CO2_reduction_sabatier,"Delta P Sensor, Flow Sensor CO2",0.909090909,0,0,0,0
Air,CO2_reduction_sabatier,CO2 Flow Meter Orifice,0.026443908,0,0,0,0
Air,CO2_reduction_sabatier,"Manifold, Hydrogen",4.416132585,0,0,0,0
Air,CO2_reduction_sabatier,Water Outlet Quick Disconnect,0.475990338,0,0,0,0
Air,CO2_reduction_sabatier,Hydrogen Inlet Check Valve,0.105775631,0,0,0,0
Air,CO2_reduction_sabatier,Hydrogen Inlet Filter,0.055080597,0,0,0,0
Air,CO2_reduction_sabatier,H2O Outlet Pressure Sensor,0.818181818,0,0,0,0
Air,CO2_reduction_sabatier,Hydrogen Inlet Quick Disconnect,0.475990338,0,0,0,0
Air,CO2_reduction_sabatier,Hydrogen Inlet NC Solenoid,0.951980677,0,0,0,0
Air,CO2_reduction_sabatier,"Delta P Sensor, Flow Sensor H2",0.909090909,0,0,0,0
Air,CO2_reduction_sabatier,H2 Flow Meter Orifice,0.026443908,0,0,0,0
Air,CO2_reduction_sabatier,"Manifold, Vent",5.103674185,0,0,0,0
Air,CO2_reduction_sabatier,Liquid Sensor,1.090909091,0,0,0,0
Air,CO2_reduction_sabatier,Vent Pressure Sensor,0.818181818,0,0,0,0
Air,CO2_reduction_sabatier,Vent Outlet Quick Disconnect,0.475990338,0,0,0,0
Air,CO2_reduction_sabatier,Vent Regulator,0.925536769,0,0,0,0
Air,CO2_reduction_sabatier,Vent Relief/Check #1,0.158663446,0,0,0,0
Air,CO2_reduction_sabatier,Vent Relief/Check #2,0.158663446,0,0,0,0
Air,CO2_reduction_sabatier,Vent Outlet NO Solenoid,0.951980677,0,0,0,0
Air,CO2_reduction_sabatier,Water Pressure Sensor,0.818181818,0,0,0,0
Air,CO2_reduction_sabatier,Water Relief,0.158663446,0,0,0,0
Air,CO2_reduction_sabatier,Water Outlet NC Solenoid,0.475990338,0,0,0,0
Air,CO2_reduction_sabatier,Rotary Water Separator Assembly,4.072361785,0,22.80150744,22.80150744,0
Air,CO2_reduction_sabatier,Sabatier Reactor Assembly,2.538615138,0,3.257358205,3.257358205,0
Air,CO2_reduction_sabatier,Structure (A/R),9.228923785,0,0,0,0
Air,CO2_reduction_sabatier,"Miscellaneous Hardware (Clampts, bolts, etc.) (A/R)",1.772727273,0,0,0,0
Air,CO2_reduction_sabatier,Air Cooling NC Solenoid,0.634653785,0,0,0,0
Air,CO2_reduction_sabatier,Air Inlet Filter,0.110161193,0,0,0,0
Air,CO2_reduction_sabatier,Air Sabatier Orifice,0.052887815,0,0,0,0
Air,CO2_reduction_sabatier,Heat Exchanger Inlet Duct,0.105775631,0,0,0,0
Air,CO2_reduction_sabatier,Heat Exchanger Outlet Duct,0.105775631,0,0,0,0
Air,CO2_reduction_sabatier,Reactor Inlet Duct,0.211551262,0,0,0,0
Air,CO2_reduction_sabatier,Reactor Outlet Duct,0.105775631,0,0,0,0
Air,CO2_reduction_sabatier,Tubing (A/R),0.6875416,0,0,0,0
Air,CO2_reduction_sabatier,Harnesses,11.45454545,0,0,0,0
Air,CO2_reduction_sabatier,Valves & Sensors' total power,0,0,7.573582051,7.573582051,0
Air,CO2_reduction_sabatier,Mechanical Compressor ORU,19.03961354,0,45.60301487,45.60301487,0
Air,CO2_reduction_sabatier,Compressor Manifold Assembly,4.654127754,0,0,0,0
Air,CO2_reduction_sabatier,Controller Assembly,28.59090909,0,55,55,0
Air,CO2_reduction_sabatier,CO2 Accumulator,10.1094636,0.011937838,0,0,0
Air,OGS_ISS,Deionizing Bed ORU (Inlet),8.002432328,0.009817537,0,0,0
